"species","selection_auc","selection_tss","series_auc","series_tss","run_sd_auc","run_sd_tss"
"Juncus trifidus",0.836746638169446,0.620504612069609,0.851399390051258,0.622767846246416,0.00444702698454844,0.0165987018087703
"Juncus jacquinii",0.879145855066707,0.746800186892124,0.87129333292736,0.797195679092525,0.0148220507598509,0.0262574732956193
"Doronicum clusii subsp. clusii",0.828869081980042,0.741513541875374,0.836066354119602,0.724778967775412,0.0218536134067609,0.0257750801178687
"Senecio incanus subsp. carniolicus",0.870093702284689,0.731463271822669,0.851325455009512,0.679670195092075,0.00949725376963016,0.0211280391803705
"Bartsia alpina",0.877213176201336,0.744781790307648,0.871697077477433,0.701888196287227,0.00883106151472444,0.0183329402848432
"Kobresia myosuroides",0.880621085516411,0.692752129307007,0.88740054212491,0.711908579601669,0.0122193808589855,0.0151213938995695
"Thymus praecox subsp. polytrichus",0.86443363294806,0.726817952743729,0.846392795888348,0.692390423063201,0.00847379509414441,0.021193077144969
"Vaccinium vitis-idaea",0.934840310801261,0.768198260122368,0.937792534391979,0.796358828560623,0.00288507403703745,0.0105576013786837
"Gentiana brachyphylla",0.840444314517136,0.661460139739186,0.827342108604479,0.660470719116882,0.0128126836539296,0.0268621780685169
"Calluna vulgaris",0.918216846389803,0.763422815958926,0.914017718994024,0.776582245950702,0.00459215884517125,0.0157100369845554
"Loiseleuria procumbens",0.907897552747358,0.78110728213319,0.918645539786584,0.808569096952451,0.0116938379144721,0.0202716168220513
"Calamagrostis villosa",0.925964977173519,0.832152247603832,0.914206968119681,0.78340513969391,0.00708047678896856,0.0195709356235287
"Juniperus communis subsp. nana",0.907359903863941,0.793807024853593,0.925803412465427,0.813215775138468,0.0105166953173486,0.0141571010250794
"Crepis aurea",0.861444455168887,0.727707895708248,0.81559662190815,0.637627259034791,0.0148003799869894,0.0244920836373327
"Luzula luzuloides",0.952523319159718,0.924419227628814,0.954882189508659,0.916037857977597,0.0124170507525084,0.0169266131214663
"Cirsium spinosissimum",0.869354356200827,0.684612076628466,0.858199010849674,0.655585749715462,0.0134911980832916,0.0355514154356949
"Arnica montana",0.919103722178965,0.851143222577341,0.896265147679402,0.818956207603765,0.0119509095441375,0.01938866593758
"Festuca nigrescens",0.930675080160937,0.802593545453727,0.929234343983036,0.798680349852594,0.00971640306004404,0.0198396926205334
"Phyteuma betonicifolium",0.982516439147539,0.963922015620165,0.981618433900206,0.954353441507797,0.00224771945710897,0.0035515611129066
"Botrychium lunaria",0.905966937526248,0.779119895009491,0.890603101016506,0.772660356430704,0.0109790549691879,0.0273891594051296
"Cerastium fontanum s. str.",0.808044305926551,0.654108510138704,0.832359638829033,0.713053595110223,0.0299776510403485,0.0338130590699973
"Trifolium badium",0.787803561398747,0.648152815585556,0.751864550103453,0.623690513864952,0.0259648760239509,0.0366154930954673
"Coeloglossum viride",0.781426802306662,0.613533508269676,0.77517803830841,0.602289388842967,0.0208980567160807,0.0278858937200142
"Achillea millefolium",0.954644153063524,0.904431697443868,0.95479875776801,0.904187199078729,0.0141130813133208,0.0137600522317349
"Galium anisophyllon",0.968804881924581,0.930111374250072,0.970461469618588,0.926393874711071,0.0126103842858847,0.0253461988577268
"Salix retusa s. str.",0.804111177054879,0.61430353217063,0.811207371339354,0.652100605534125,0.0182715177781919,0.0237098162153164
"Huperzia selago",0.855205416963023,0.719496105652292,0.816469753314074,0.664443310239456,0.0158068433534326,0.032019369884479
